Country,Albania,Algeria,American Samoa,Andorra,Argentina,Armenia,Australia,Austria,Azerbaijan,Belarus,Belgium,Bermuda,Bolivia,Bosnia,Brazil,British Virgin Islands,Bulgaria,Cameroon,Canada,Cayman Islands,Chile,China,Chinese Taipei,Colombia,Costa Rica,Croatia,Cyprus,Czech Republic,Czechoslovakia,Denmark ,Dominica,East Germany,Egypt,Estonia,Ethiopia,Fiji,Finland,France,Georgia,Germany,Ghana,Great Britain,Greece,Guam,Guatemala,Honduras,Hong Kong,Hungary,Iceland,India,Individual Olympic Athletes,Iran,Ireland,Israel,Italy,Jamaica,Japan,Kazakhstan,Kenya,Kyrgyzstan,Latvia,Lebanon,Liechtenstein,Lithuania,Luxemburg,"Macedonia, the former Yugoslav Republic of",Madagascar,Malta,Mexico,Moldova,Monaco,Mongolia,Montenegro,Morocco,Nepal,Netherlands,Netherlands Antilles,New Zealand,North Korea,Norway,Pakistan,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Romania,Russia,San Marino,Senegal,Serbia,Serbia and Montenegro,Slovakia,Slovenia,South Africa,South Korea,Soviet Union,Spain,Swaziland,Sweden,Switzerland,Tajikistan,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago ,Turkey,Ukraine,Unified Team,United States,Uruguay,Uzbekistan,Venezuela,West Germany,Virgin Islands,Yugoslavia,Zimbabwe,
Sports,,,,,,,,1,,,4,,,,,,,,3,,,,,,,,,,6,,,,,,,,6,9,,,,6,,,,,,2,,1,,,,,4,,,,,,2,,,, ,,,,,,,,,,1,,,,,5,,,,,5,,,,,,,,,,,,,,,,7,7,,,,,,,,,,6,,,,,,1,,
Gold,,,,,,,,2,,,0,,,,,,,,1,,,,,,,,,,0,,,,,,,,4,0,,,,1,,,,,,0,,1,,,,,0,,,,,,0,,,, ,,,,,,,,,,0,,,,,4,,,,,0,,,,,,,,,,,,,,,,1,2,,,,,,,,,,1,,,,,,0,,
Silver,,,,,,,,1,,,0,,,,,,,,0,,,,,,,,,,0,,,,,,,,3,0,,,,1,,,,,,0,,0,,,,,0,,,,,,0,,,, ,,,,,,,,,,0,,,,,7,,,,,0,,,,,,,,,,,,,,,,1,0,,,,,,,,,,2,,,,,,0,,
Bronze,,,,,,,,0,,,1,,,,,,,,0,,,,,,,,,,0,,,,,,,,3,2,,,,2,,,,,,0,,0,,,,,0,,,,,,0,,,, ,,,,,,,,,,0,,,,,6,,,,,0,,,,,,,,,,,,,,,,0,1,,,,,,,,,,1,,,,,,0,,
Total M,,,,,,,,3,,,1,,,,,,,,1,,,,,,,,,,0,,,,,,,,10,2,,,,4,,,,,,0,,1,,,,,0,,,,,,0,,,, ,,,,,,,,,,0,,,,,17,,,,,0,,,,,,,,,,,,,,,,2,3,,,,,,,,,,4,,,,,,0,,17
Distance,,,,,,,,321.8617211,,,364.0606732,,,,,,,,3912.246178,,,,,,,,,,479.5215809,,,,,,,,1449.345053,234.0462256,,,,682.5310068,,,,,,628.9435402,,4293.346031,,,,,363.7839464,,,,,,1087.305159,,,,,,,,,,,,,,4265.53461,,,,,1118.384664,,,,,727.4298199,,,,,,,,,,,,,,,,1157.459029,91.86664485,,,,,,,,,,4969.720491,,,,,,663.6936853,,
1928,,,,,10,,,39,,,25,,,,,,,,23,,,,,,,,,,25,,,,,2,,,18,38,,44,,32,,,,,,13,,,,,,,13,,6,,,,1,,,1,5,,,,5,,,,,,,7,,,,25,,,,,26,,,10,,,,,,25,,,,,,,24,41,,,,,,,,,,24,,,,,,6,,44
Men,,,,,10,,,34,,,24,,,,,,,,20,,,,,,,,,,24,,,,,2,,,17,36,,39,,30,,,,,,13,,,,,,,13,,6,,,,1,,,1,5,,,,5,,,,,,,7,,,,22,,,,,26,,,10,,,,,,24,,,,,,,24,40,,,,,,,,,,21,,,,,,6,,
Women,,,,,0,,,5,,,1,,,,,,,,3,,,,,,,,,,1,,,,,0,,,1,2,,5,,2,,,,,,0,,,,,,,0,,0,,,,0,,,0,0,,,,0,,,,,,,0,,,,3,,,,,0,,,0,,,,,,1,,,,,,,0,1,,,,,,,,,,3,,,,,,0,,
Sports,,,,,1,,,8,,,3,,,,,,,,6,,,,,,,,,,5,,,,,1,,,5,8,,7,,5,,,,,,4,,,,,,,5,,3,,,,1,,,1,1,,,,1,,,,,,,2,,,,5,,,,,5,,,1,,,,,,,,,,,,,6,7,,,,,,,,,,7,,,,,,1,,
Gold,,,,,0,,,0,,,0,,,,,,,,1,,,,,,,,,,0,,,,,0,,,2,1,,0,,0,,,,,,0,,,,,,,0,,0,,,,0,,,0,0,,,,0,,,,,,,0,,,,6,,,,,0,,,0,,,,,,0,,,,,,,2,0,,,,,,,,,,2,,,,,,0,,
Silver,,,,,0,,,3,,,0,,,,,,,,0,,,,,,,,,,0,,,,,0,,,1,0,,0,,0,,,,,,0,,,,,,,0,,0,,,,0,,,0,0,,,,0,,,,,,,0,,,,4,,,,,0,,,0,,,,,,0,,,,,,,2,0,,,,,,,,,,2,,,,,,0,,
Bronze,,,,,0,,,1,,,1,,,,,,,,0,,,,,,,,,,1,,,,,0,,,1,0,,1,,1,,,,,,0,,,,,,,0,,0,,,,0,,,0,0,,,,0,,,,,,,0,,,,5,,,,,0,,,0,,,,,,1,,,,,,,1,1,,,,,,,,,,2,,,,,,0,,
Total M,,,,,0,,,4,,,1,,,,,,,,1,,,,,,,,,,1,,,,,0,,,4,1,,1,,1,,,,,,0,,,,,,,0,,0,,,,0,,,0,0,,,,0,,,,,,,0,,,,15,,,,,0,,,0,,,,,,1,,,,,,,5,1,,,,,,,,,,6,,,,,,0,,15
