Country,Australasia,Malaya,Newfoundland,North Yemen,Unified Team,United Arab Republic,Yugoslavia,West Indies Federation,West Germany,Argentina,Antigua and Barbuda,Armenia,Andorra,Bahrain,Angola,Algeria,Bahamas,Austria,Azerbaijan,Macedonia,Malawi,Nicaragua,Madagascar,Marshall Islands,Mauritania,San Marino,Sudan,Swaziland,Sweden,United Arab Emirates,Turkey,Turkmenistan,Tuvalu,Vietnam,Uganda,Ukraine,Zimbabwe,Yemen,Zambia,Uzbekistan,South Vietnam,Uruguay,Soviet Union,South Yemen,Serbia and Montenegro,Saar,Sao Tome and Principe,Romania,Suriname,Australia,American Samoa,Tunisia,Venezuela,Afghanistan,Vanuatu,Aruba,Switzerland,Kuwait,Trinidad and Tobago,Tonga,United States,Timor Leste,Rhodesia,Tanzania,Tajikistan,Solomon Islands,Somalia,South Africa,Syria,Slovakia,Sierra Leone,Singapore,South Korea,Spain,Serbia,Seychelles,North Borneo,Senegal,Thailand,Sri Lanka,Saint Vincent and the Grenadines,Netherlands Antilles,Saint Kitts and Nevis,Saint Lucia,Bulgaria,Gabon,Togo,Saudi Arabia,Samoa,Slovenia,Poland,Portugal,Russia,Nauru,Peru,Philippines,Palestine,Pakistan,North Korea,Rwanda,Papua New Guinea,Panama,Norway,Palau,Paraguay,Qatar,Morocco,Puerto Rico,Mozambique,Niger,Albania,Namibia,Montenegro,Myanmar,New Zealand,Nigeria,Nepal,Oman,Individual Olympic Athletes,Netherlands,Malta,Monaco,Moldova,Mongolia,Mali,Mauritius,Maldives,Malaysia,Mexico,Iraq,Lebanon,Lesotho,Italy,Liechtenstein,Jamaica,Libya,Kenya,Latvia,Liberia,Laos,Kazakhstan,Jordan,Hong Kong,Indonesia,Lithuania,Luxembourg,Honduras,Haiti,Iceland,Guyana,Guatemala,Kyrgyzstan,Iran,Japan,Kiribati,East Germany,Ireland,India,Israel,Hungary,Guam,Guinea,Czechoslovakia,Grenada,Guinea Bissau,Crete,Greece,Germany,Great Britain,Ghana,Georgia,Gambia,France,Ethiopia,Fiji,Ecuador,Finland,Egypt,Equatorial Guinea,Estonia,El Salvador,Cyprus,Denmark,Czech Republic,Djibouti,Eritrea,Cote d'Ivoire,Cuba,Dominica,Croatia,Cook Islands,Costa Rica,Federated States of Micronesia,Bohemia,Chile,Comoros,Congo Kinshasa,China,Chinese Taipei,Congo Brazzaville,Dominican Republic,Chad,Colombia,Cayman Islands,Central African Republic,Canada,Cambodia,Cape Verde,Cameroon,Burkina Faso,Burundi,British Virgin Islands,Brazil,Brunei,Bolivia,Botswana,Bermuda,Bosnia and Herzegovina,Barbados,Belize,Belgium,Benin,Belarus,Bhutan,Bangladesh,
Total
Participants,53,40,1,10,475,74,1035,13,1372,1566,63,93,29,59,148,314,147,1440,143,32,54,91,72,8,21,74,76,41,2801,67,677,33,5,90,162,817,166,25,140,228,39,352,2475,5,193,36,11,1455,28,3309,23,382,488,100,22,26,1812,192,153,31,7602,5,14,105,38,18,20,852,129,232,58,156,2003,2325,159,58,2,214,422,87,25,52,17,17,1288,45,36,142,45,226,2325,661,1637,8,328,375,15,354,325,32,56,79,1371,18,97,108,403,516,47,36,39,34,41,79,1112,513,70,39,66,2581,77,67,101,226,70,80,29,282,1427,174,140,45,3818,51,320,61,452,239,40,43,433,55,292,257,257,363,113,67,220,70,222,110,463,3034,7,1129,716,791,306,2495,62,55,1620,40,12,8,1593,3707,5447,231,124,29,5095,206,79,139,1594,907,26,234,119,97,1792,429,22,20,116,1206,14,335,24,143,14,66,448,12,65,2081,486,66,188,25,523,35,47,3329,38,9,207,29,20,23,1712,6,66,52,112,37,106,49,1907,48,537,19,32,
Sports,8,5,1,3,27,12,25,5,27,32,6,13,8,7,10,19,8,31,16,5,4,10,8,3,2,11,8,6,34,10,22,8,2,15,9,29,14,6,8,17,7,19,27,2,19,9,2,28,5,35,8,21,27,7,5,9,36,13,10,6,44,1,6,4,10,5,1,31,12,21,5,15,31,35,16,8,1,13,20,10,2,11,1,3,28,5,8,12,9,16,30,28,33,2,23,19,3,11,16,4,8,11,26,5,11,10,20,22,4,5,7,7,8,11,30,14,7,6,16,33,9,14,10,10,7,13,3,19,31,14,13,4,35,8,13,8,14,20,2,5,24,10,19,20,18,19,12,11,12,6,19,13,21,35,2,21,24,22,21,32,10,7,30,4,2,2,36,38,43,6,18,3,42,4,9,17,27,29,3,22,14,11,29,27,5,2,11,29,2,21,6,15,4,9,24,3,7,35,23,7,16,3,22,4,9,38,8,4,10,5,3,2,30,3,15,4,10,10,11,7,35,7,25,2,5,
Gold,3, , , ,45, ,26, ,56,18, ,1, , , ,5,5,25,6, , , , , , , , , ,144,1,39, , , ,2,33,3, , ,5, ,2,395, ,2, , ,88,1,138, ,3,2, , , ,55, ,2, ,990, , , , , , ,23,1,7, , ,81,37,1, , , ,7, , , , , ,51, , , , ,4,67,4,134, ,1, , ,3,14, , ,1,59, , , ,6, ,1, , , , , ,42,3, , , ,79, , , ,2, , , , ,13, , , ,211, ,17, ,25,3, , ,16, ,1,6,6,4, , , , , , ,15,130, ,153,9,9,1,170, , ,49,1, , ,39,213,245, ,6, ,222,21, ,1,106,7, ,9, , ,46,14, , , ,71, ,6, ,1, , ,2, , ,201,2, ,3, ,2, , ,60, , ,3, ,1, ,23, , , , , , , ,42, ,12, , ,
Silver,4, , , ,38,1,29, ,67,24, ,2, , , ,2,2,40,5, , , , , , , ,1, ,169, ,25, , ,2,3,27,4, ,1,5, ,2,319, ,4, , ,94, ,156, ,3,2, , , ,80, ,6,1,764, , ,2,1, , ,27,1,9, ,2,82,59,2, , ,1,6,2, ,1, , ,85,1, ,1, ,6,84,8,126, ,3,2, ,3,12, , , ,51, ,1, ,5,2, , , ,4,1, ,18,8, , ,1,88, , ,2,9, , , ,3,21, ,2, ,177, ,30, ,32,11, , ,17, ,1,10,5,2, ,1,2, ,1,1,20,126, ,129,9,6,1,151, , ,50, , , ,56,248,290,1,5, ,234,7, ,1,86,8, ,9, ,1,74,15, , ,1,65, ,7, ,1, ,1,7, , ,144,7, ,2, ,6, , ,101, , ,1, , , ,30, , ,1, , , , ,56, ,24, , ,
Bronze,5, , , ,29,1,28,2,81,28, ,9, ,1, ,8,5,41,15,1, , , , , , , , ,185, ,24, , , ,2,55,1, ,1,10, ,6,296, ,3, , ,119,1,181, ,4,8,2, , ,67,2,10, ,671, , , ,2, , ,28,1,8, ,2,80,35,4, , , ,11, , , , , ,78, ,1,2, ,9,128,11,145, , ,7, ,4,21, , ,2,44, , ,4,11,6,1,1, , , , ,39,12, , ,2,109, ,1,5,13, ,1, ,3,27,1,2, ,189, ,20, ,29,5, , ,19, ,1,11,10, , ,1,2,1, ,2,25,144, ,127,13,11,5,169, , ,47, , , ,52,267,276,3,14, ,271,17, , ,119,9, ,15, , ,73,15,1,1, ,66, ,10, ,2, ,5,4, , ,128,12, ,1, ,11, , ,121, , ,1, , , ,55, , , ,1, ,1, ,60, ,39, , ,
Total Medals,12, , , ,112,2,83,2,204,70, ,12, ,1, ,15,12,106,26,1, , , , , , ,1, ,498,1,88, , ,2,7,115,8, ,2,20, ,10,1010, ,9, , ,301,2,475, ,10,12,2, , ,202,2,18,1,2425, , ,2,3, , ,78,3,24, ,4,243,131,7, , ,1,24,2, ,1, , ,214,1,1,3, ,19,279,23,405, ,4,9, ,10,47, , ,3,154, ,1,4,22,8,2,1, ,4,1, ,99,23, , ,3,276, ,1,7,24, ,1, ,6,61,1,4, ,577, ,67, ,86,19, , ,52, ,3,27,21,6, ,2,4,1,1,3,60,400, ,409,31,26,7,490, , ,146,1, , ,147,728,811,4,25, ,727,45, ,2,311,24, ,33, ,1,193,44,1,1,1,202, ,23, ,4, ,6,13, , ,473,21, ,6, ,19, , ,282, , ,5, ,1, ,108, , ,1,1, ,1, ,158, ,75, , ,
y2012
Population,,,,,,,,,,42095224,89069,2978339,79316,1333577,22685632,37439427,372388,8429991,9295784,2069270,15700436,5877034,22293720,52663,3777067,31172,37712420,1231694,9519374,8952542,74099255,5172941,9860,88809200,35400620,45593300,14565482,24882792,14786581,29774500,,3396753,,,,,178484,20058035,528535,22728254,55227,10777500,105275,29726803,247498,102393,7996861,3419581,1341579,104769,314112078,1148958,,48645709,7930929,549162,10033630,52341695,21427155,5407579,6043157,5312437,50004441,46773055,7199077,88303,,13780108,67164130,20424000,109334,,53650,180890,7305888,1613489,6745581,29496047,188901,2057159,38063164,10514844,143201676,,30158768,96017322,4046901,177392252,24763353,10817350,7154870,3743761,5018573,20756,6379162,2015624,32984190,3642281,25732928,17635782,2900489,2291645,620601,52543841,4408100,168240403,27500515,3545192,,16754962,419455,37404,3559519,2808339,16112333,1255882,385000,29021940,122070963,32780975,4440728,2057331,59539717,36791,2707805,6283403,42542978,2034319,4190155,6473050,16791425,6318000,7154600,248037853,2987773,530946,7736131,10288828,320716,758410,15368759,5607200,76156975,127561489,106620,,4586897,1263589639,7910500,9920362,162807,11628767,,105476,1714620,,11045011,80425823,63700300,25544565,3825000,1807108,65639975,92191211,874158,15419493,5413971,85660902,773729,1322696,6072233,1129303,5591572,10510785,853069,4892233,21102641,11342631,71685,4267558,,4654148,103516,,17388437,733661,70291160,1350695000,,4286188,10155036,12715465,46881018,57522,4619500,34751476,14832255,500870,21659488,16590813,10124572,,202401584,405512,10238762,2132822,64798,3828419,281580,336707,11128246,10049792,9464000,743711,155257387,
GDP,,,,,,,,,,604378456915.58,1204713111.11111,10619320048.5857,3146177740.6367,30756462765.9574,125491841418.556,209047389599.67,8234470000,407373026611.605,68730906313.6456,9745251126.0109,4240491999.38982,10460339389.3836,9919780071.28764,184439555.469872,4845165274.15849, ,62688889672.5441,4912817411.9638,543880647757.404,373429543907.42,788863301670.379,35164210526.3158,39875750.6730172,155820001920.492,23236898742.1315,175781379051.433,12392715461.9891,32074766834.7453,24939314028.7141,51183443224.9939,,51384870651.1999,,,,,265592759.78986,172043567268.324,4980000000,1537477830480.51, ,45131250400.1537, ,20536542736.7297,781702874.106058, ,665408300271.743,174070025008.932,24580844842.603,457244315.207909,16163158000000,1295000000,,39087748240.4403,7633036366.03545,1025124684.35864, ,397386418270.402, ,93049721684.1235,3740395424.17499,289935584540.29,1222807195712.49,1339946773437.24,40742313861.1374,1134239543.19907,,14045681414.3657,397471809439.856,68434422593.7553,692933757.407407,,731919906.037037,1311133139.59259,53576670827.8581,17171447372.3334,3915776459.27121,733955733333.333,804163067.661301,46239992124.6554,500227851988.331,216368178659.447,2016112133645.48,,192679697094.166,250092093547.532,11262141134.3655,224646134571.4, ,7219657132.21544,15391629871.3765,37956200000,509704856037.817,215815865.5917,24611039786.132,190289835164.835,98266306615.3632,101080738000,14534278446.3087,6942209594.55433,12319784787.1422,13016447844.0926,4087725812.66864,74690930782.389,174141818314.596,460953836444.364,18851513891.066,76341482444.7334,,828946812396.788,8882509103.82705, ,7284686576.2835,12292770631.23,10340795746.5385,11445657237.9368,2514041557.49376,314442825692.826,1184499844413.23,217968837559.845,43205095854.063,2384043848.96468,2074631555455.23,5487773452.44017,14746420946.1737,81905365776.3335,50410164013.5527,28023276371.5791,1735500000,9359185244.24597,203517198088.691,30937277605.6338,262629441493.476,917869913364.916,42852204396.452,55986712367.7993,18528601901.324,7890216507.68913,14194519025.2641,2851149182.58764,50388460222.6307,6605139933.41063,587209369682.666,5954476603961.52,174984468.834127,,224652132155.012,1831781515472.09,259613579190.332,127176184359.093, ,5667229758.9878,,799882130,958857944.224704,,245670666639.047,3539615377794.51,2630472981169.65,41939728978.7281,15846474595.773,912569686.7859,2681416108537.39,43310721414.0829,3977652382.81468,87924544000,256706466091.089,276353323880.224,18011041667.1319,23135266649.1325,23813600000,24940600822.1062,322276544469.312,206441578342.485,1353632941.5207, ,27040562587.1771,73139050000,485185185.185185,56485301967.4205,,45300669857.48,325835160.290555,,265231582107.399,550476566.060452,27463220379.9945,8461623162714.07,,13677930123.5919,60595109805.116,12368070168.9723,369659700375.52, ,2169706564.05899,1832715597431.65,14038383450.186,1751888561.72747,26472056037.7696,11166061507.8024,2472384906.99793,,2460658440428.04,16953505121.6389,27084497539.7974,14792386725.4663,5537537000,17207368282.7487,4313000000,1573867300,497780014247.465,8117100933.52537,63615445566.8483,1823692109.61652,133355749482.478,
Participants,,,,,,,,,,137,4,24,6,12,33,38,21,70,52,4,3,6,7,4,2,4,6,3,133,26,112,10,3,18,15,230,7,4,7,53,,27,,,,,2,105,5,404,4,83,68,6,5,4,98,10,25,3,530,2,,6,16,4,2,124,10,47,2,23,250,278,116,6,,31,37,7,3,,4,4,63,21,6,18,8,65,210,76,430,2,16,11,5,21,52,7,8,8,61,5,8,12,63,25,6,6,9,9,33,6,178,49,5,3,4,173,5,6,20,29,6,11,5,29,99,8,10,4,281,3,45,4,47,45,3,3,113,9,41,22,62,9,25,5,27,6,19,14,52,291,3,,64,81,37,152,8,4,,8,4,,102,383,530,7,34,2,324,33,9,36,56,109,2,32,10,13,114,133,4,12,9,109,2,107,8,11,6,,35,3,4,375,44,7,33,2,101,4,6,273,6,3,32,5,6,2,248,3,5,4,8,6,6,3,113,5,160,2,5,
Sports,,,,,,,,,,23,2,9,4,3,6,12,2,19,15,2,2,4,5,2,1,4,2,2,21,6,16,5,2,11,4,25,4,3,4,14,,8,,,,,1,15,3,29,3,17,15,4,3,3,19,4,6,2,31,1,,3,7,3,1,17,7,11,1,9,25,27,15,4,,8,15,4,2,,1,3,17,5,5,5,6,15,24,14,30,2,9,8,3,4,11,4,5,5,15,4,6,4,12,8,4,5,5,5,7,5,16,8,3,2,3,19,3,6,9,7,4,7,3,9,23,7,7,2,28,3,4,3,4,12,1,2,19,5,13,8,14,7,8,2,6,3,11,8,13,29,2,,14,13,10,21,5,3,,3,2,,20,27,32,4,10,1,28,2,6,11,14,21,1,11,7,7,17,21,3,2,6,14,1,17,5,6,4,,17,2,3,29,14,3,10,2,19,2,4,28,4,2,9,3,3,1,27,2,3,2,5,4,3,2,16,4,23,2,5,
Men,,,,,,,,,,97,2,20,4,4,4,21,12,39,38,2,1,3,3,2,1,1,4,2,55,24,48,7,2,6,11,119,4,3,5,36,,24,,,,,1,55,3,221,3,63,42,5,3,3,70,8,18,2,262,1,,4,13,2,1,68,6,26,1,8,135,168,80,4,,24,19,4,2,,4,1,37,19,4,16,5,28,124,44,204,2,9,7,3,19,15,5,4,6,33,2,4,8,46,19,4,4,6,5,18,3,96,30,2,2,3,94,3,5,12,16,4,4,3,16,62,5,3,2,158,1,23,3,27,31,1,2,73,5,21,13,39,5,22,3,21,4,12,11,44,136,2,,36,58,19,93,5,2,,5,2,,65,212,273,5,28,1,182,18,6,23,29,75,1,23,5,9,66,68,2,11,4,65,1,64,3,8,4,,21,1,3,160,19,4,13,0,45,4,3,119,3,1,10,2,2,1,131,2,3,3,5,4,6,2,69,4,89,0,4,
Women,,,,,,,,,,40,2,4,2,8,29,17,9,31,14,2,2,3,4,2,1,3,2,1,78,2,64,3,1,12,4,111,3,1,2,17,,3,,,,,1,50,2,183,1,20,26,1,2,1,28,2,7,1,268,1,,2,3,2,1,56,4,21,1,15,115,110,36,2,,7,18,3,1,,0,3,26,2,2,2,3,37,86,32,226,0,7,4,2,2,37,2,4,2,28,3,4,4,17,6,2,2,3,4,15,3,82,19,3,1,1,79,2,1,8,13,2,7,2,13,37,3,7,2,123,2,22,1,20,14,2,1,40,4,20,9,23,4,3,2,6,2,7,3,8,155,1,,28,23,18,59,3,2,,3,2,,37,171,257,2,6,1,142,15,3,13,27,34,1,9,5,4,48,65,2,1,5,44,1,43,5,3,2,,14,2,1,215,25,3,20,2,56,0,3,154,3,2,22,3,4,1,117,1,2,1,3,2,0,1,44,1,71,2,1,
Gold,,,,,,,,,,1, , , , , ,1,1, ,2, , , , , , , , , ,1, ,2, , , ,1,6, , , ,1,, ,,,,, ,2, ,7, ,1,1, , , ,2, ,1, ,46, ,, , , , ,3, , , , ,13,3,1, ,, , , , ,, , , , , , , ,1,2, ,24, , , , , ,4, , , ,2, , , , , , , , , , , ,6, , , , ,6, , , , , , , , ,1, , , ,8, ,4, ,2,1, , ,7, , , ,2, , , , , , , ,4,7, ,,1, , ,8, , ,,1, ,, ,11,29, ,1, ,11,3, , , , , , , , ,2,4, , , ,5, ,3, , , ,, , , ,38, , ,1, ,1, , ,1, , , , , , ,3, , , , , , , , , ,2, , ,
Silver,,,,,,,,,,1, ,1, , , , , , ,2, , , , , , , , , ,4, ,2, , , , ,5, , , , ,, ,,,,, ,5, ,16, ,1, , , , ,2, ,1, ,28, ,, , , , ,2, ,1, , ,8,10,1, ,, ,2, , ,, , ,1,1, , , ,1,2,1,26, , , , , , , , , ,1, , , , ,1, , , , ,1, ,2, , , , ,6, , , ,2, , , ,1,3, , , ,9, ,4, ,4, , , ,1, , ,1,1, , , , , ,1, ,5,14, ,,1,2, ,4, , ,, , ,, ,19,17, ,3, ,11,1, , ,1,2, ,1, ,1,4,3, , , ,3, ,1, , , ,, , , ,27,1, ,1, ,3, , ,5, , , , , , ,5, , ,1, , , , ,1, ,5, , ,
Bronze,,,,,,,,,,2, ,2, ,1, , , , ,6, , , , , , , , , ,3, ,1, , , , ,9, , , ,2,, ,,,,, ,2, ,12, ,1, ,1, , , ,1,2, ,29, ,, ,1, , ,1, ,3, ,2,7,4,2, ,, ,1, , ,, , ,1, , ,1, ,2,6, ,32, , , , , ,2, , , ,1, , ,2,1,1, , , , , , ,5, , , , ,8, , ,2,3, , , ,1,3, , , ,11, ,4, ,5,1, , ,5, ,1,1,2, , , , , , , ,3,17, ,,3,4, ,6, , ,, , ,,2,14,19, ,3, ,13,3, , ,2, , ,1, , ,3,3, , , ,6, ,2, , , ,, , , ,23,1, , , ,4, , ,12, , , , , , ,9, , , , , , , ,2, ,5, , ,
Total Medals,,,,,,,,,,4, ,3, ,1, ,1,1, ,10, , , , , , , , , ,8, ,5, , , ,1,20, , , ,3,, ,,,,, ,9, ,35, ,3,1,1, , ,4,1,4, ,103, ,, ,1, , ,6, ,4, ,2,28,17,4, ,, ,3, , ,, , ,2,1, ,1, ,4,10,1,82, , , , , ,6, , , ,4, , ,2,1,2, , , , ,1, ,13, , , , ,20, , ,2,5, , , ,2,7, , , ,28, ,12, ,11,2, , ,13, ,1,2,5, , , , , ,1, ,12,38, ,,5,6, ,18, , ,,1, ,,2,44,65, ,7, ,35,7, , ,3,2, ,2, ,1,9,10, , , ,14, ,6, , , ,, , , ,88,2, ,2, ,8, , ,18, , , , , , ,17, , ,1, , , , ,3, ,12, , ,
y2008
Population,,,,,,,,,,40381860,85350,2975029,85616,1115777,19842251,34811059,348587,8321496,8763400,2055266,13904671,5594524,19926798,52221,3414552,30160,34470138,1153750,9219637,6900142,70344357,4917541,9788,85118700,31014427,46258200,13495462,22322699,13114579,27302800,,3350832,,,,,163595,20537875,506657,21249200,57031,10328900,107091,26528741,225335,101342,7647675,2705290,1315372,102816,304093966,1030630,,42844744,7254072,503410,9132589,49344228,20097057,5379233,5521838,4839396,48948698,45954106,7350222,86956,,12229703,66453255,20246000,109165,,51093,172729,7492561,1473741,6052937,26742842,183440,2021316,38125759,10558177,142742350,,28642048,90297115,3596688,163096985,24243829,9750314,6540267,3498679,4768212,20227,6047131,1388962,31350544,3760866,22994867,15085130,2947314,2115703,616969,51030006,4259800,151115683,26325183,2652281,,16445593,409379,35731,3570108,2629666,14223403,1244121,362000,27197419,114972821,29163327,4109389,1972194,58826731,35721,2671934,6123022,38244442,2177322,3672782,6045439,15674000,5786000,6957800,235360765,3198231,488650,7259470,9705130,317414,748096,14106687,5318700,72530693,128063000,98437,,4489544,1197070109,7308800,10038188,158310,10427356,,103934,1561293,,11077841,82110097,61806995,23115919,4030000,1586749,64374990,83079608,843206,14447600,5313399,78976122,686223,1337090,6004199,1077010,5493621,10384603,809639,4500638,19261647,11290239,70881,4434508,,4429506,104472,,16645940,665414,61809278,1324655000,,3832771,9636491,11139740,44901660,52925,4280405,33245773,13933660,483824,19570418,14709011,8821795,,194769696,,9599916,1967866,65273,3839749,277315,306165,10709973,8973525,9528000,694990,148252473,
GDP,,,,,,,,,,403781994527.786,1347349851.85185,11662040713.8753,4001349339.57053,25710877659.5745,88538611205.1433,171000692134.748,8246650000,427611527757.434,48852482960.0779,9909548410.82744,4276769472.8325,8491388728.00293,9413002920.97009,152793449.108916,4031047704.39864,1899879955.48332,54526580231.5568,3019779208.83165,513965650650.119,315474615738.598,730337495735.69,19271523178.8079,30290219.7617849,99130304099.1274,14239026629.639,179992405832.321,4415702800,30397203368.9725,17910858637.9048,27934030937.2157,,30366213119.2928,,,,,189595284.422349,208181587200.762,3532969034.60838,1054557743957.03, ,44856586316.0458, ,10190529882.4878,607958616.143415,2791960893.85475,551546962699.658,147395833333.333,27870226094.699,340041546.540362,14718582000000,694000000,,27368386358.131,5161298559.34241,608292551.499525, ,286769850239.675, ,100076967921.488,2505458705.03338,192225881687.752,1002219052967.54,1634989014208.29,49259526052.7426,967216406.547392,,13386345214.5386,291383081231.82,40713812309.7316,695428835.925926,,734660315.081481,1194493390.74074,54666642734.2757,15508574820.3516,3163416242.05877,519796800000,619260721.579306,55589849128.4605,530185123692.512,262007590449.685,1660846387624.78,,121572308725.52,174195135053.121,6673500000,170077814106.305, ,4796573531.21622,8000074071.33069,24884000000,461946808510.638,198980088.704,18504130752.9922,115270054945.055,92507257783.5697,93639316000,11494837053.4061,5403363917.3096,12881352687.7775,8486721916.9128,4519731946.68229, ,131935035003.866,208064753766.47,12545438605.3959,60905331599.4798,,936228211513.11,8554293727.08674,6919241412.09365,6054806100.8468,5623216609.63463,8737660549.10929,9641089804.86982,2117773600.79498,230813597937.526,1101275294482.33,131613661510.475,28829850746.2687,1630672202.58558,2391875541233.34,5081479840.08716,13678551837.6303,87140405361.2292,35895153327.8497,35542093261.2191,850040500,5443915120.50795,133441612246.798,21971835282.5137,219279678430.164,510228634992.258,47850551148.8365,55144865973.3411,13789715132.502,6548530572.35291,17530651669.9091,1922603032.01883,39136436507.9365,5139957784.91084,397189565318.894,4849184641953.57,135044455.62825,,274713996338.069,1224097069460.46,216760312151.616,157094861350.053, ,4515824647.43939,,825925925.925926,864107768.266587,,354460802548.704,3752365607148.09,2793376838235.29,28526891010.4925,12795044472.7663,965769128.170004,2923465651091.26,27066912635.2228,3523185919.55826,61762635000,283742493042.332,162818181818.182,16021701871.7733,24194038377.0324,21431000000,27493064742.3573,352591553716.09,235204812643.146,999105339.267729,1380188800,24224903099.6283,60806300000,458148148.148148,70481451814.3118,,29837895769.0591,261339600,,179626674542.474,517477678.55149,19206060270.2521,4558431073438.2,,11859014004.0772,48152993002.9889,10351933631.7188,243982437870.84, ,1985370057.92473,1542618556701.03,10351914093.1723,1789333748.6799,23322254113.5623,8369637065.40255,1611634331.64869,,1695824517395.57,,16674324634.2373,10945070441.9283,6109928000,19101455212.7022,4595000000,1368625150,518626043650.212,7132787396.66547,60752177438.8895,1258332337.28382,91631278239.3237,
Participants,,,,,,,,,,132,5,25,5,14,32,56,25,70,44,7,4,6,6,5,2,4,9,4,123,8,67,10,3,13,11,243,13,5,8,56,,12,,,,,3,101,4,432,4,26,108,4,3,2,83,8,28,3,588,1,,9,15,3,2,134,7,57,3,25,265,284,87,9,,15,47,8,2,3,4,4,70,4,4,14,6,61,257,77,454,1,13,15,4,21,58,4,7,5,84,5,7,20,47,22,4,4,11,10,19,6,178,74,8,4,,237,6,5,29,28,17,11,4,32,83,4,6,5,333,2,50,6,46,47,3,4,130,7,34,24,71,13,25,7,27,4,12,20,54,332,2,,55,53,43,171,6,5,,9,3,,152,420,304,9,35,3,309,27,6,25,57,101,3,47,11,17,84,134,2,10,21,158,2,99,4,8,5,,26,3,5,599,79,5,24,2,67,4,3,332,4,2,32,6,3,2,268,,7,11,6,5,8,4,94,5,177,2,5,
Sports,,,,,,,,,,19,2,7,4,3,6,12,4,16,10,5,2,4,4,3,1,3,2,2,20,7,12,6,2,8,4,24,6,4,4,14,,6,,,,,2,16,2,31,3,10,21,2,2,2,20,5,4,2,32,1,,2,8,2,1,20,5,14,2,6,27,29,11,6,,7,12,6,1,3,1,2,15,3,4,4,5,11,23,16,29,1,10,8,2,4,12,2,5,3,15,3,5,6,7,8,3,2,6,4,6,5,17,10,6,3,,20,4,5,8,7,4,7,2,10,23,2,4,2,29,2,4,4,5,11,1,2,19,5,11,7,16,7,5,3,5,2,9,9,12,31,2,,12,12,12,20,5,3,,2,2,,23,30,23,2,11,2,25,1,5,9,14,19,2,13,9,6,16,21,1,1,5,18,1,15,3,4,3,,14,2,4,34,15,3,9,1,16,2,2,30,2,2,9,4,2,1,28,,5,3,4,4,3,2,16,3,24,1,3,
Men,,,,,,,,,,79,4,23,3,11,17,34,16,40,30,5,2,3,4,3,1,2,5,2,50,6,48,6,2,7,9,127,8,4,6,41,,9,,,,,2,40,2,233,2,14,57,3,1,2,47,8,17,2,306,0,,7,12,1,1,75,6,35,2,11,159,163,63,6,,8,22,4,1,3,1,1,43,2,3,14,4,40,156,51,231,1,7,10,2,19,21,2,3,3,30,3,3,20,36,17,2,2,7,6,17,4,96,37,4,3,,139,3,4,21,14,3,6,2,18,43,3,4,4,203,2,23,4,28,29,2,2,60,3,17,15,44,9,23,3,20,2,9,16,51,167,2,,39,31,23,88,4,2,,4,2,,82,237,163,8,27,2,188,14,4,17,31,74,2,34,4,7,64,75,1,8,19,102,2,80,3,6,3,,20,2,4,310,43,3,18,1,43,3,2,186,2,1,25,3,1,1,139,,4,9,2,4,7,3,77,3,93,1,3,
Women,,,,,,,,,,53,1,2,2,3,15,22,9,30,14,2,2,3,2,2,1,2,4,2,73,2,19,4,1,6,2,116,5,1,2,15,,3,,,,,1,61,2,199,2,12,51,1,2,0,36,0,11,1,282,1,,2,3,2,1,59,1,22,1,14,106,121,24,3,,7,25,4,1,0,3,3,27,2,1,0,2,21,101,26,223,0,6,5,2,2,37,2,4,2,54,2,4,0,11,5,2,2,4,4,2,2,82,37,4,1,,98,3,1,8,14,14,5,2,14,40,1,2,1,130,0,27,2,18,18,1,2,70,4,17,9,27,4,2,4,7,2,3,4,3,165,0,,16,22,20,83,2,3,,5,1,,70,183,141,1,8,1,121,13,2,8,26,27,1,13,7,10,20,59,1,2,2,56,0,19,1,2,2,,6,1,1,289,36,2,6,1,24,1,1,146,2,1,7,3,2,1,129,,3,2,4,1,1,1,17,2,84,1,2,
Gold,,,,,,,,,,2, , , , , , , , ,1, , , , , , , , , , , ,1, , , , ,7,1, , ,1,, ,,,,, ,4, ,14, ,1, , , , ,2, , , ,36, ,, , , , , , ,3, , ,13,5, , ,, ,2, , , , , ,1, , , , ,1,3,1,23, , , , , ,2, , ,1,3, , , , , , , , , , , ,3, , , ,,7, , , ,2, , , , ,2, , , ,8, ,6, ,6,1, , ,2, , ,1, , , , , , , , ,1,9, ,, ,1, ,3, , ,, , ,, ,16,19, ,3, ,7,4, , ,1, , ,1, , ,2,3, , , ,2, , , , , ,, , , ,51, , ,1, , , , ,3, , ,1, , , ,3,, , , , , , ,1, ,4, , ,
Silver,,,,,,,,,, , , , , , ,1,1,1,2, , , , , , , ,1, ,4, ,4, , ,1, ,5,3, , ,2,, ,,,,, ,1, ,15, , , , , , ,1, ,2, ,38, ,, ,1, , ,1, ,2, ,1,10,10,1, ,, ,2, , , , , ,1, , , , ,2,6,1,21, , , , , ,1, , , ,5, , , ,1, , , , , , , ,2,1, , ,,5, , , ,2, , , ,1, , , , ,9, ,3, ,4,1, , ,4, , ,1,2, , , ,1, , ,1, ,6, ,,1, , ,5, , ,, , ,,2,10,13, , , ,16,1, ,1,1, , ,1, , ,2,3, , , ,11, ,2, , , ,,1, , ,21, , ,1, ,1, , ,9, , , , , , ,4,, , , , , , ,1, ,5, , ,
