Country,American Samoa,Canada,Costa Rica,Dominica,Guam,Guatemala,Honduras,Jamaica,Mexico,Puerto Rico,Trinidad and Tobago ,United States,Virgin Islands,Argentina,Bolivia,Brazil,Chile,Colombia,Paraguay,Peru,Uruguay,Venezuela,Algeria,Cameroon,Egypt,Ethiopia,Ghana,Kenya,Madagascar,Morocco,Senegal,South Africa,Swaziland,Togo,Zimbabwe,Albania,Andorra,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bermuda,Bosnia,British Virgin Islands,Bulgaria,Cayman Islands,Croatia,Cyprus,Czech Republic,Czechoslovakia,Denmark ,East Germany,Estonia,Finland,France,Georgia,Germany,Great Britain,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Liechtenstein,Lithuania,Luxemburg,"Macedonia, the former Yugoslav Republic of",Malta,Moldova,Monaco,Montenegro,Netherlands,Netherlands Antilles,Norway,Poland,Portugal,Romania,San Marino,Serbia,Serbia and Montenegro,Slovakia,Slovenia,Spain,Sweden,Switzerland,Ukraine,West Germany,Yugoslavia,China,Chinese Taipei,Hong Kong,India,Iran,Israel,Japan,Kazakhstan,Kyrgyzstan,Lebanon,Mongolia,Nepal,North Korea,Pakistan,Philippines,Russia,South Korea,Soviet Union,Tajikistan,Thailand,Timor-Leste,Turkey,Uzbekistan,Australia,Fiji,New Zealand,Tonga,Individual Olympic Athletes,Unified Team
Men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,,28,,,,,,,,,,69,,9,,,4,,,,,,,,,,,,,,,,,,,,,,54,,,11,,,,4,,,,,47,2,,,24,36,,,55,1,22,4,,54,,10,,,,,,,,4,,49,29,,7,,,,,,6,43,70,,,17,,,,,,,,,,2,,,,,,,3,,,,,4,,,,,,,
Men,,24,,,,,,,,,,59,,9,,,4,,,,,,,,,,,,,,,,,,,,,,42,,,10,,,,4,,,,,41,2,,,24,28,,,43,1,17,4,,51,,10,,,,,,,,4,,45,29,,7,,,,,,6,42,59,,,17,,,,,,,,,,2,,,,,,,3,,,,,4,,,,,,,
Women,,4,,,,,,,,,,10,,0,,,0,,,,,,,,,,,,,,,,,,,,,,12,,,1,,,,0,,,,,6,0,,,0,8,,,12,0,5,0,,3,,0,,,,,,,,0,,4,0,,0,,,,,,0,1,11,,,0,,,,,,,,,,0,,,,,,,0,,,,,0,,,,,,,
Sports,,7,,,,,,,,,,9,,2,,,1,,,,,,,,,,,,,,,,,,,,,,8,,,4,,,,3,,,,,8,2,,,5,7,,,6,1,5,2,,9,,2,,,,,,,,1,,7,5,,1,,,,,,1,6,9,,,4,,,,,,,,,,1,,,,,,,1,,,,,1,,,,,,,
Gold,,2,,,,,,,,,,3,,0,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,0,,,,,0,0,,,1,2,,,0,0,0,0,,1,,0,,,,,,,,0,,4,0,,0,,,,,,0,4,3,,,0,,,,,,,,,,0,,,,,,,0,,,,,0,,,,,,,
Silver,,0,,,,,,,,,,4,,0,,,0,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,0,,,,,1,0,,,3,1,,,0,0,1,0,,0,,0,,,,,,,,0,,3,0,,0,,,,,,0,3,4,,,0,,,,,,,,,,0,,,,,,,0,,,,,0,,,,,,,
Bronze,,1,,,,,,,,,,2,,0,,,0,,,,,,,,,,,,,,,,,,,,,,4,,,0,,,,0,,,,,0,0,,,2,2,,,2,0,0,0,,0,,0,,,,,,,,0,,3,0,,0,,,,,,0,3,3,,,0,,,,,,,,,,0,,,,,,,0,,,,,0,,,,,,,
Total M,,3,,,,,,,,,,9,,0,,,0,,,,,,,,,,,,,,,,,,,,,,8,,,2,,,,0,,,,,1,0,,,6,5,,,2,0,1,0,,0,,0,,,,,,,,0,,4,0,,0,,,,,,0,10,10,,,0,,,,,,,,,,0,,,,,,,0,,,,,0,,,,,,,
Distance,,3962.043431,,,,,,,,,,5058.546412,,7209.420806,,,7295.452928,,,,,,,,,,,,,,,,,,,,,,175.0092116,,,400.5975259,,,,781.5002674,,,,,344.5939489,656.7977687,,,1358.219002,375.914119,,,734.7182779,804.8115021,482.477882,1648.213157,,293.2263184,,48.22499917,,,,,,,,453.3211313,,10,594.9216167,,724.7666678,,,,,,827.1119282,1090.846145,93.46414581,,,526.0792006,,,,,,,,,,1617.310845,,,,,,,5499.882789,,,,,1371.353489,,,,,,,
1952,,39,,,,,,,,,,66,,12,,,3,,,,,,,,,,,,,,,,,,,,,,39,,,9,,,,10,,,,,22,1,,,50,26,,53,18,3,12,11,,33,,,,,,,,,,104,,73,30,1,16,,,,,,4,65,55,,,6,,,,,,,13,,,1,,,,,,,19,,,,,51,,9,,3,,,
Men,,31,,,,,,,,,,56,,11,,,3,,,,,,,,,,,,,,,,,,,,,,31,,,9,,,,10,,,,,22,1,,,45,20,,41,8,3,8,11,,28,,,,,,,,,,78,,61,27,1,16,,,,,,4,56,46,,,4,,,,,,,13,,,1,,,,,,,18,,,,,51,,7,,2,,,
Women,,8,,,,,,,,,,10,,1,,,0,,,,,,,,,,,,,,,,,,,,,,8,,,0,,,,0,,,,,0,0,,,5,6,,12,10,0,4,0,,5,,,,,,,,,,26,,12,3,0,0,,,,,,0,9,9,,,2,,,,,,,0,,,0,,,,,,,1,,,,,0,,2,,1,,,
Sports,,6,,,,,,,,,,8,,2,,,1,,,,,,,,,,,,,,,,,,,,,,7,,,3,,,,2,,,,,3,1,,,7,5,,8,3,1,4,3,,6,,,,,,,,,,14,,8,4,1,3,,,,,,1,8,7,,,3,,,,,,,5,,,1,,,,,,,6,,,,,4,,4,,1,,,
Gold,,1,,,,,,,,,,4,,0,,,0,,,,,,,,,,,,,,,,,,,,,,2,,,0,,,,0,,,,,0,0,,,3,0,,3,1,0,0,0,,1,,,,,,,,,,0,,7,0,0,0,,,,,,0,0,0,,,0,,,,,,,0,,,0,,,,,,,0,,,,,2,,0,,0,,,
Silver,,0,,,,,,,,,,6,,0,,,0,,,,,,,,,,,,,,,,,,,,,,4,,,0,,,,0,,,,,0,0,,,4,0,,2,0,0,0,0,,0,,,,,,,,,,5,,3,0,0,0,,,,,,0,0,0,,,0,,,,,,,0,,,0,,,,,,,0,,,,,0,,0,,0,,,
Bronze,,1,,,,,,,,,,1,,0,,,0,,,,,,,,,,,,,,,,,,,,,,2,,,0,,,,0,,,,,0,0,,,2,1,,2,0,0,1,0,,1,,,,,,,,,,0,,6,0,0,0,,,,,,0,4,2,,,0,,,,,,,0,,,0,,,,,,,2,,,,,1,,0,,0,,,
Total M,,2,,,,,,,,,,11,,0,,,0,,,,,,,,,,,,,,,,,,,,,,8,,,0,,,,0,,,,,0,0,,,9,1,,7,1,0,1,0,,2,,,,,,,,,,5,,16,0,0,0,,,,,,0,4,2,,,0,,,,,,,0,,,0,,,,,,,2,,,,,3,,0,,0,,,
Distance,,3251.063692,,,,,,,,,,4537.241893,,7743.814641,,,7725.593956,,,,,,,,,,,,,,,,,,,,,,878.4563528,,,682.8865647,,,,1316.283467,,,,,729.5884664,274.4493214,,,566.9755178,1028.811765,,622.4669266,630.5749056,1529.021829,970.6450803,972.1938735,,1186.582354,,,,,,,,,,549.3387504,,143.9345313,654.4850625,1630.450332,1126.887429,,,,,,1519.162144,200.9394918,902.1909285,,,1120.59438,,,,,,,5165.467254,,,2131.512203,,,,,,,4843.909024,,,,,1790.564816,,8926.942053,,10950.48981,,,
1956,,35,,,,,,,,,,67,,,1,,3,,,,,,,,,,,,,,,,,,,,,,60,,,4,,,,7,,,,,41,,,,31,32,,63,41,3,2,7,,65,,8,,,,,,,,8,,45,51,,19,,,,,,6,58,59,,,17,,,,,3,,10,,,3,,,,,,,4,53,,,,4,,8,,,,,
Men,,27,,,,,,,,,,57,,,1,,3,,,,,,,,,,,,,,,,,,,,,,50,,,4,,,,6,,,,,35,,,,27,25,,52,31,3,1,6,,53,,8,,,,,,,,6,,37,44,,13,,,,,,6,50,51,,,12,,,,,3,,10,,,3,,,,,,,4,47,,,,4,,7,,,,,
Women,,8,,,,,,,,,,10,,,0,,0,,,,,,,,,,,,,,,,,,,,,,10,,,0,,,,1,,,,,6,,,,4,7,,11,10,0,1,1,,12,,0,,,,,,,,2,,8,7,,6,,,,,,0,8,8,,,5,,,,,0,,0,,,0,,,,,,,0,6,,,,0,,1,,,,,
Sports,,7,,,,,,,,,,8,,,1,,1,,,,,,,,,,,,,,,,,,,,,,8,,,3,,,,2,,,,,7,,,,6,6,,8,5,1,1,2,,8,,2,,,,,,,,2,,6,6,,4,,,,,,1,8,7,,,3,,,,,1,,5,,,2,,,,,,,1,6,,,,1,,3,,,,,
Gold,,0,,,,,,,,,,2,,,0,,0,,,,,,,,,,,,,,,,,,,,,,4,,,0,,,,0,,,,,0,,,,3,0,,1,0,0,0,0,,1,,0,,,,,,,,0,,2,0,,0,,,,,,0,2,3,,,0,,,,,0,,0,,,0,,,,,,,0,7,,,,0,,0,,,,,
Silver,,1,,,,,,,,,,3,,,0,,0,,,,,,,,,,,,,,,,,,,,,,3,,,0,,,,0,,,,,0,,,,3,0,,0,0,0,0,0,,2,,0,,,,,,,,0,,1,0,,0,,,,,,0,4,2,,,0,,,,,0,,1,,,0,,,,,,,0,3,,,,0,,0,,,,,
Bronze,,2,,,,,,,,,,2,,,0,,0,,,,,,,,,,,,,,,,,,,,,,4,,,0,,,,0,,,,,0,,,,1,0,,1,0,0,1,0,,0,,0,,,,,,,,0,,1,1,,0,,,,,,0,4,1,,,0,,,,,0,,0,,,0,,,,,,,0,6,,,,0,,0,,,,,
Total M,,3,,,,,,,,,,7,,,0,,0,,,,,,,,,,,,,,,,,,,,,,11,,,0,,,,0,,,,,0,,,,7,0,,2,0,0,1,0,,3,,0,,,,,,,,0,,4,1,,0,,,,,,0,10,6,,,0,,,,,0,,1,,,0,,,,,,,0,16,,,,0,,0,,,,,
Distance,,4022.335787,,,,,,,,,,5142.513769,,,6482.342668,,7394.217949,,,,,,,,,,,,,,,,,,,,,,79.16760875,,,475.1119864,,,,676.1416687,,,,,271.1822542,,,,1318.569101,485.3505612,,340.1251035,807.7170396,721.392391,373.7531623,1700.82974,,258.0908424,,130.4873795,,,,,,,,501.8001905,,1072.571171,517.8538056,1123.560914,615.3389529,,,,,,926.7835816,1075.2382,198.3441916,,,419.1396233,,,,,2373.419303,,5823.105524,,,1519.253828,,,,,,,5418.643939,1265.172904,,,,1266.032724,,8993.317861,,,,,
1960,,44,,,,,,,,,,79,,6,,,5,,,,,,,,,,,,,,,4,,,,,,,26,,,,,,,7,,,,,21,1,,,48,26,,74,17,,3,4,,28,,3,,,,,,,,7,,29,13,,,,,,,,4,47,21,,,,,,,,,,41,,,2,,,,,,,7,62,,,,2,,30,,4,,,
Men,,34,,,,,,,,,,61,,5,,,5,,,,,,,,,,,,,,,1,,,,,,,17,,,,,,,4,,,,,20,1,,,42,18,,56,11,,2,4,,21,,3,,,,,,,,5,,25,7,,,,,,,,3,41,14,,,,,,,,,,36,,,2,,,,,,,5,48,,,,2,,26,,2,,,
Women,,10,,,,,,,,,,18,,1,,,0,,,,,,,,,,,,,,,3,,,,,,,9,,,,,,,3,,,,,1,0,,,6,8,,18,6,,1,0,,7,,0,,,,,,,,2,,4,6,,,,,,,,1,6,7,,,,,,,,,,5,,,0,,,,,,,2,14,,,,0,,4,,2,,,
Sports,,7,,,,,,,,,,8,,2,,,1,,,,,,,,,,,,,,,1,,,,,,,5,,,,,,,2,,,,,4,1,,,6,6,,8,5,,3,2,,6,,1,,,,,,,,2,,6,4,,,,,,,,1,6,4,,,,,,,,,,7,,,1,,,,,,,3,8,,,,1,,6,,1,,,
Gold,,2,,,,,,,,,,3,,0,,,0,,,,,,,,,,,,,,,0,,,,,,,1,,,,,,,0,,,,,0,0,,,2,1,,4,0,,0,0,,0,,0,,,,,,,,0,,3,0,,,,,,,,0,3,2,,,,,,,,,,0,,,0,,,,,,,0,7,,,,0,,0,,0,,,
Silver,,1,,,,,,,,,,4,,0,,,0,,,,,,,,,,,,,,,0,,,,,,,2,,,,,,,0,,,,,1,0,,,3,0,,3,0,,0,0,,0,,0,,,,,,,,1,,3,1,,,,,,,,0,2,0,,,,,,,,,,0,,,0,,,,,,,0,5,,,,0,,0,,0,,,
Bronze,,1,,,,,,,,,,3,,0,,,0,,,,,,,,,,,,,,,0,,,,,,,3,,,,,,,0,,,,,0,0,,,3,2,,1,0,,0,0,,1,,0,,,,,,,,1,,0,1,,,,,,,,0,2,0,,,,,,,,,,0,,,0,,,,,,,0,9,,,,0,,0,,0,,,
Total M,,4,,,,,,,,,,10,,0,,,0,,,,,,,,,,,,,,,0,,,,,,,6,,,,,,,0,,,,,1,0,,,8,3,,8,0,,0,0,,1,,0,,,,,,,,2,,6,2,,,,,,,,0,7,2,,,,,,,,,,0,,,0,,,,,,,0,21,,,,0,,0,,0,,,
Distance,,1807.438076,,,,,,,,,,1256.247267,,6207.966181,,,5737.090147,,,,,,,,,,,,,,,10296.34367,,,,,,,5815.663976,,,,,,,6360.182868,,,,,5731.65322,5246.715709,,,5075.656419,5556.865105,,5495.577975,5033.864746,,6001.465013,4133.803314,,6058.516101,,5721.159868,,,,,,,,5327.614859,,4920.283094,5701.667857,,,,,,,,5651.857348,5017.417235,5686.484131,,,,,,,,,,5246.158164,,,7168.862263,,,,,,,5641.450198,5752.692192,,,,6816.03848,,8230.934837,,6915.315394,,,
1964,,55,,,,,,,,,,90,,12,,,5,,,,,,,,,,,,,,,,,,,,,,83,,,8,,,,7,,,,,46,2,,,51,24,,96,36,3,28,5,,61,,6,,,,,,,,6,,58,51,,27,,,,,,6,57,72,,,31,,,,1,4,,47,,,4,13,,13,,,,7,69,,,,5,,5,,,,,
Men,,43,,,,,,,,,,71,,11,,,5,,,,,,,,,,,,,,,,,,,,,,69,,,7,,,,3,,,,,36,2,,,45,15,,73,27,3,22,5,,53,,6,,,,,,,,4,,51,40,,27,,,,,,6,49,60,,,29,,,,1,4,,41,,,4,10,,6,,,,5,53,,,,5,,3,,,,,
Women,,12,,,,,,,,,,19,,1,,,0,,,,,,,,,,,,,,,,,,,,,,14,,,1,,,,4,,,,,10,0,,,6,9,,23,9,0,6,0,,8,,0,,,,,,,,2,,7,11,,0,,,,,,0,8,12,,,2,,,,0,0,,6,,,0,3,,7,,,,2,16,,,,0,,2,,,,,
Sports,,8,,,,,,,,,,10,,3,,,1,,,,,,,,,,,,,,,,,,,,,,10,,,3,,,,2,,,,,8,2,,,7,5,,10,7,1,6,2,,9,,2,,,,,,,,2,,9,8,,4,,,,,,1,8,10,,,4,,,,1,1,,8,,,1,3,,2,,,,3,8,,,,1,,1,,,,,
Gold,,1,,,,,,,,,,1,,0,,,0,,,,,,,,,,,,,,,,,,,,,,4,,,0,,,,0,,,,,0,0,,,3,3,,3,1,0,0,0,,0,,0,,,,,,,,1,,3,0,,0,,,,,,0,3,0,,,0,,,,0,0,,0,,,0,0,,,,,,0,11,,,,0,,0,,,,,
Silver,,1,,,,,,,,,,2,,0,,,0,,,,,,,,,,,,,,,,,,,,,,5,,,0,,,,0,,,,,0,0,,,4,4,,2,0,0,0,0,,1,,0,,,,,,,,1,,6,0,,0,,,,,,0,3,0,,,0,,,,0,0,,0,,,0,0,,1,,,,0,8,,,,0,,0,,,,,
Bronze,,1,,,,,,,,,,4,,0,,,0,,,,,,,,,,,,,,,,,,,,,,3,,,0,,,,0,,,,,1,0,,,3,0,,2,0,0,0,0,,3,,0,,,,,,,,0,,6,0,,0,,,,,,0,1,0,,,0,,,,0,0,,0,,,0,0,,,,,,0,6,,,,0,,0,,,,,
Total M,,3,,,,,,,,,,7,,0,,,0,,,,,,,,,,,,,,,,,,,,,,12,,,0,,,,0,,,,,1,0,,,10,7,,7,1,0,0,0,,4,,0,,,,,,,,2,,15,0,,0,,,,,,0,7,0,,,0,,,,0,0,,0,,,0,0,,1,,,,0,25,,,,0,,0,,,,,
Distance,,3960.485686,,,,,,,,,,5083.054572,,7299.784256,,,7384.736426,,,,,,,,,,,,,,,,,,,,,,91.53505546,,,415.2586573,,,,725.3646958,,,,,254.9277648,606.6329141,,,1282.639097,453.6620945,,279.6640574,746.9765154,781.8571821,405.4596806,1639.13621,,314.5514851,,87.14243868,,,,,,,,440.0039328,,1019.99476,505.3036049,,651.4453631,,,,,,916.6122248,1028.385301,160.1697838,,,466.9742847,,,,4081.428435,2417.485125,,5808.07358,,,1573.882195,4154.194351,,5231.715555,,,,5410.266262,1261.37486,,,,1314.461604,,9026.910124,,,,,
1968,,70,,,,,,,,,,96,,5,,,4,,,,,,,,,,,,,5,,,,,,,,,76,,,,,,,6,,,,,48,3,57,,52,75,,,38,3,10,4,,47,,9,,,,,,,,9,,65,31,,30,,,,,,20,68,34,,87,30,,,,1,4,,61,,,3,7,,,,,,8,74,,,,11,,3,,6,,,
Men,,55,,,,,,,,,,75,,2,,,3,,,,,,,,,,,,,5,,,,,,,,,63,,,,,,,2,,,,,41,2,45,,44,64,,,28,3,8,4,,39,,8,,,,,,,,4,,54,23,,29,,,,,,20,59,29,,67,29,,,,1,4,,52,,,3,7,,,,,,5,54,,,,11,,3,,4,,,
Women,,15,,,,,,,,,,21,,3,,,1,,,,,,,,,,,,,0,,,,,,,,,13,,,,,,,4,,,,,7,1,12,,8,11,,,10,0,2,0,,8,,1,,,,,,,,5,,11,8,,1,,,,,,0,9,5,,20,1,,,,0,0,,9,,,0,0,,,,,,3,20,,,,0,,0,,2,,,
Sports,,9,,,,,,,,,,10,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,10,,,,,,,2,,,,,8,1,9,,7,10,,,7,2,4,1,,8,,2,,,,,,,,1,,8,7,,5,,,,,,3,9,7,,10,4,,,,1,1,,8,,,1,3,,,,,,4,8,,,,2,,3,,1,,,
Gold,,1,,,,,,,,,,1,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,3,,,,,,,0,,,,,1,0,1,,1,4,,,0,0,0,0,,4,,0,,,,,,,,3,,6,0,,0,,,,,,0,3,0,,2,0,,,,0,0,,0,,,0,0,,,,,,0,5,,,,0,,0,,0,,,
Silver,,1,,,,,,,,,,5,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,4,,,,,,,0,,,,,2,0,2,,2,3,,,0,0,0,0,,0,,0,,,,,,,,3,,6,0,,0,,,,,,0,2,2,,2,0,,,,0,0,,0,,,0,0,,,,,,0,5,,,,0,,0,,0,,,
Bronze,,1,,,,,,,,,,1,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,4,,,,,,,0,,,,,1,0,2,,2,2,,,0,0,0,0,,0,,0,,,,,,,,3,,2,0,,1,,,,,,0,3,4,,3,0,,,,0,0,,0,,,0,0,,,,,,0,3,,,,0,,0,,0,,,
Total M,,3,,,,,,,,,,7,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,11,,,,,,,0,,,,,4,0,5,,5,9,,,0,0,0,0,,4,,0,,,,,,,,9,,14,0,,1,,,,,,0,8,6,,7,0,,,,0,0,,0,,,0,0,,,,,,0,13,,,,0,,0,,0,,,
Distance,,3920.115357,,,,,,,,,,4954.373065,,6996.596975,,,7078.74867,,,,,,,,,,,,,1078.71332,,,,,,,,,392.2933722,,,,,,,966.6801448,,,,,554.0002987,769.4881935,428.4625502,,1517.512185,188.3223269,,,698.9334319,936.1728754,694.624671,1637.878653,,389.3735822,,227.4650972,,,,,,,,504.6673806,,1173.988304,802.1276685,,931.8120905,,,,,,610.8538975,1219.330574,165.5356969,,428.4625502,719.8974602,,,,4349.874654,2669.095394,,6088.886205,,,1773.748543,4454.669652,,,,,,5702.841226,1562.271185,,,,1552.166696,,9306.633759,,11785.59976,,,
1972,,47,,,,,,,,,,103,,2,,,11,,,,,,,,,,,,,,,,,,,,,,40,,,1,,,,4,,,,,41,,42,,50,40,,,37,3,1,,,44,,4,,,,,,,,11,,67,47,,13,,,,,,3,58,151,,78,26,,5,,,4,,85,,,1,4,,6,,2,,5,76,,,,,,4,,2,,,
Men,,29,,,,,,,,,,77,,2,,,9,,,,,,,,,,,,,,,,,,,,,,29,,,1,,,,4,,,,,37,,29,,43,33,,,30,3,0,,,41,,3,,,,,,,,5,,56,39,,13,,,,,,2,49,122,,62,26,,5,,,4,,65,,,1,4,,0,,2,,1,55,,,,,,4,,2,,,
Women,,18,,,,,,,,,,26,,0,,,2,,,,,,,,,,,,,,,,,,,,,,11,,,0,,,,0,,,,,4,,13,,7,7,,,7,0,1,,,3,,1,,,,,,,,6,,11,8,,0,,,,,,1,9,29,,16,0,,0,,,0,,20,,,0,0,,6,,0,,4,21,,,,,,0,,0,,,
Sports,,7,,,,,,,,,,10,,1,,,5,,,,,,,,,,,,,,,,,,,,,,8,,,1,,,,2,,,,,6,,7,,6,9,,,7,1,1,,,9,,2,,,,,,,,2,,8,8,,4,,,,,,1,9,17,,10,4,,2,,,1,,10,,,1,2,,1,,1,,2,9,,,,,,2,,1,,,
Gold,,0,,,,,,,,,,3,,0,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,0,,,,,1,,4,,0,0,,,0,0,0,,,2,,0,,,,,,,,4,,2,1,,0,,,,,,1,1,0,,3,0,,0,,,0,,1,,,0,0,,0,,0,,0,8,,,,,,0,,0,,,
Silver,,1,,,,,,,,,,2,,0,,,0,,,,,,,,,,,,,,,,,,,,,,2,,,0,,,,0,,,,,0,,3,,4,1,,,0,0,0,,,2,,0,,,,,,,,3,,5,0,,0,,,,,,0,1,3,,1,0,,0,,,0,,1,,,0,0,,0,,0,,0,5,,,,,,0,,0,,,
Bronze,,0,,,,,,,,,,3,,0,,,0,,,,,,,,,,,,,,,,,,,,,,2,,,0,,,,0,,,,,2,,7,,1,2,,,0,0,0,,,1,,0,,,,,,,,2,,5,0,,0,,,,,,0,2,0,,1,0,,0,,,0,,1,,,0,0,,0,,0,,0,3,,,,,,0,,0,,,
Total M,,1,,,,,,,,,,8,,0,,,0,,,,,,,,,,,,,,,,,,,,,,5,,,0,,,,0,,,,,3,,14,,5,3,,,0,0,0,,,5,,0,,,,,,,,9,,12,1,,0,,,,,,1,4,3,,5,0,,0,,,0,,3,,,0,0,,0,,0,,0,16,,,,,,0,,0,,,
Distance,,4639.509147,,,,,,,,,,5752.144168,,10944.24601,,,10449.59099,,,,,,,,,,,,,,,,,,,,,,5435.812579,,,5464.511968,,,,5308.555084,,,,,5242.642248,,5339.436907,,4254.056774,5800.602315,,,5392.297425,5619.707287,5261.147551,,,5703.071371,,5546.901673,,,,,,,,5327.113048,,4693.643678,4998.04471,,5155.665806,,,,,,6306.918739,4593.495392,5595.916464,,5339.436907,5362.344082,,1782.543532,,,4679.250235,,520.045525,,,5352.034771,1787.079056,,771.1805325,,2377.321672,,843.0366721,4298.077179,,,,,,4872.92094,,6157.571929,,,
1976,,59,,,,,,,,,,106,,8,,,5,,,,,,,,,,,,,,,,,,,,5,,77,,,4,,,,29,,,,,58,,59,,47,35,,,42,4,3,8,,58,,9,,,,,,,,7,,42,56,,32,2,,,,,4,39,59,,71,28,,6,,,4,,58,,,1,,,,,,,3,79,,,,9,,8,,5,,,
Men,,38,,,,,,,,,,76,,8,,,5,,,,,,,,,,,,,,,,,,,,5,,63,,,3,,,,29,,,,,47,,40,,38,29,,,31,4,2,6,,47,,6,,,,,,,,3,,35,43,,32,2,,,,,4,30,52,,56,27,,6,,,4,,50,,,0,,,,,,,1,59,,,,9,,5,,3,,,
Women,,21,,,,,,,,,,30,,0,,,0,,,,,,,,,,,,,,,,,,,,0,,14,,,1,,,,0,,,,,11,,19,,9,6,,,11,0,1,2,,11,,3,,,,,,,,4,,7,13,,0,0,,,,,0,9,7,,15,1,,0,,,0,,8,,,1,,,,,,,2,20,,,,0,,3,,2,,,
